NAME,SpMax1_Bh(s),SpMax2_Bh(s),SpMax3_Bh(s),SpMax4_Bh(s),SpMax5_Bh(s),SpMax6_Bh(s),SpMax7_Bh(s),,,,,,
CEP-32496.mol,8.513,7.999,7.999,7.431,5.213,5.135,4.84,,,,,,
CH4987655.mol,8.239,8.201,8.161,7.431,7.426,6.457,4.699,,,,,,
Docetaxel.mol,7.442,7.432,7.431,7.431,7.426,6.455,6.444,,,,,,
Florone.mol,8.193,8.186,7.441,7.431,7.428,7.422,6.446,,,,,,
ki8751.mol,8.212,8.201,8.191,7.431,5.076,4.795,4.661,,,,,,
MLN 2480.mol,8.513,7.999,7.999,7.431,7.427,5.231,4.985,,,,,,
Paclitaxel.mol,7.444,7.432,7.431,7.431,7.427,7.422,6.452,,,,,,
Pluripotin.mol,8.513,7.999,7.999,7.431,7.426,5.032,4.877,,,,,,
SB705498.mol,8.513,7.999,7.999,7.431,4.856,4.762,4.313,,,,,,
Z-DEVD-FMK.mol,8.198,7.448,7.433,7.431,7.43,7.429,7.426,,,,,,
Echinomycin.mol,7.452,7.431,7.43,7.43,7.427,7.427,7.424,,,,,,
Fluticasone.mol,8.197,8.191,8.186,7.43,7.426,6.449,6.437,,,,,,
Torin 1.mol,8.513,7.999,7.999,7.43,7.426,5.041,4.934,,,,,,
Troleandomycin.mol,7.441,7.431,7.431,7.43,7.424,4.856,4.783,,,,,,
Vincristine.mol,7.454,7.437,7.431,7.43,6.447,6.439,4.965,,,,,,
Dilmapimod.mol,8.211,8.201,8.191,7.429,6.469,6.443,4.988,,,,,,
GNF-5.mol,8.516,7.999,7.999,7.429,6.456,5.03,4.8,,,,,,
Golvatinib.mol,8.203,8.2,7.443,7.429,7.413,4.975,4.696,,,,,,
GSK1904529a.mol,8.211,8.191,7.716,7.429,6.999,5.113,4.942,,,,,,
Leflunomide.mol,8.513,7.999,7.999,7.429,5.21,4.712,3.873,,,,,,
LGB321.mol,8.212,8.2,8.191,7.429,6.449,4.993,4.891,,,,,,
Nilotinib.mol,8.513,7.999,7.999,7.429,5.05,4.963,4.84,,,,,,
NVP-BHG712.mol,8.513,7.999,7.999,7.429,5.156,4.88,4.741,,,,,,
OSI-930.mol,8.516,7.999,7.999,7.429,4.994,4.815,4.649,,,,,,
PF-3845.mol,8.513,7.999,7.999,7.429,4.995,4.906,4.702,,,,,,
PND-1186.mol,8.513,7.999,7.999,7.429,4.941,4.803,4.702,,,,,,
Ponatinib.mol,8.513,7.999,7.999,7.429,5.167,4.808,4.696,,,,,,
Radotinib.mol,8.513,7.999,7.999,7.429,5.088,4.965,4.895,,,,,,
Torin 2.mol,8.513,7.999,7.999,7.429,5.178,4.982,4.688,,,,,,
Birinapant.mol,8.203,8.2,7.436,7.428,7.423,7.423,6.452,,,,,,
BV-6.mol,7.446,7.43,7.428,7.428,7.424,7.424,7.421,,,,,,
Ciclosporin.mol,7.453,7.43,7.429,7.428,7.427,7.425,7.424,,,,,,
Decernotinib.mol,8.513,7.999,7.999,7.428,5.112,4.918,4.352,,,,,,
Idasanutlin.mol,8.203,8.199,7.475,7.428,6.816,6.351,4.902,,,,,,
JNJ-7706621.mol,8.211,8.191,7.726,7.428,6.999,5.23,4.835,,,,,,
Pemetrexed.mol,7.478,7.471,7.432,7.428,6.352,6.35,5.143,,,,,,
Verteporfin.mol,7.475,7.438,7.431,7.428,6.351,5.048,4.894,,,,,,
Viomycin.mol,7.447,7.436,7.43,7.428,7.425,7.423,7.421,,,,,,
Cobimetinib.mol,8.239,8.201,8.161,7.427,6.447,4.677,4.468,,,,,,
PLX-4720.mol,8.21,8.191,7.716,7.427,6.999,5.103,4.66,,,,,,
R547.mol,8.239,8.161,7.716,7.427,6.999,5.181,4.761,,,,,,
Vemurafenib.mol,8.21,8.191,7.716,7.427,6.999,5.057,4.917,,,,,,
Anidulafungin.mol,7.445,7.43,7.428,7.426,7.424,7.422,7.421,,,,,,
Cromolyn.mol,7.479,7.473,7.429,7.426,6.45,6.352,6.35,,,,,,
Dolutegravir.mol,8.211,8.191,7.447,7.426,7.413,6.459,4.649,,,,,,
Lubiprostone.mol,8.358,7.999,7.474,7.426,6.448,6.351,4.508,,,,,,
LY411575.mol,8.211,8.191,7.436,7.426,7.422,6.444,4.829,,,,,,
Trametinib.mol,8.201,7.446,7.43,7.426,7.411,4.767,4.668,,,,,,
turofexorate isopropyl.mol,8.24,8.161,7.434,7.426,4.963,4.535,4.49,,,,,,
Atazanavir.mol,7.441,7.434,7.426,7.425,6.449,4.936,4.753,,,,,,
Balifomycin f.mol,7.475,7.436,7.431,7.425,6.464,6.447,6.437,,,,,,
Nedocromil.mol,7.479,7.473,7.429,7.425,6.352,6.35,4.807,,,,,,
Olaparib.mol,8.201,7.432,7.426,7.425,4.835,4.584,4.449,,,,,,
Telaprevir.mol,7.498,7.438,7.428,7.425,7.421,7.352,4.975,,,,,,
Temsirolimus.mol,7.498,7.436,7.43,7.425,7.424,7.352,6.469,,,,,,
Everolimus.mol,7.498,7.433,7.426,7.424,7.352,6.458,6.449,,,,,,
Fludrocortisone.mol,8.188,7.438,7.427,7.424,6.449,6.437,4.442,,,,,,
Rapamycin.mol,7.498,7.433,7.426,7.424,7.352,6.453,6.446,,,,,,
Sonolisib.mol,7.438,7.431,7.428,7.424,6.459,4.771,4.693,,,,,,
Wortmannin.mol,7.438,7.431,7.427,7.424,5.012,4.667,4.53,,,,,,
Zotarolimus.mol,7.498,7.433,7.426,7.424,7.352,6.451,6.444,,,,,,
Carfilzomib.mol,7.441,7.429,7.426,7.423,7.421,4.773,4.74,,,,,,
Cefapirin.mol,7.475,7.435,7.43,7.423,6.351,4.893,4.52,,,,,,
Epoxomicin.mol,7.44,7.428,7.426,7.423,7.421,6.45,4.742,,,,,,
Floxapen.mol,8.201,7.474,7.433,7.423,6.351,5.197,4.859,,,,,,
LCL161.mol,8.201,7.434,7.426,7.423,4.786,4.583,4.369,,,,,,
Raltegravir.mol,8.201,7.437,7.428,7.423,6.459,5.231,4.675,,,,,,
Belnacasan.mol,7.438,7.43,7.426,7.422,5.151,4.728,4.683,,,,,,
Latamoxef.mol,7.481,7.473,7.429,7.421,6.471,6.352,6.35,,,,,,
Oprozomib.mol,7.438,7.428,7.424,7.421,4.818,4.762,4.729,,,,,,
Alvespimycin.mol,7.445,7.438,7.427,7.418,6.449,4.925,4.723,,,,,,
Geldanamycin.mol,7.445,7.438,7.427,7.418,6.449,4.925,4.726,,,,,,
Herbimycin A.mol,7.445,7.438,7.427,7.418,4.926,4.761,4.698,,,,,,
Macbecin I.mol,7.445,7.438,7.427,7.418,4.922,4.75,4.642,,,,,,
Tanespimycin.mol,7.445,7.438,7.427,7.418,6.449,4.925,4.74,,,,,,
BMS-777607.mol,8.203,8.2,7.442,7.413,5.224,4.816,4.706,,,,,,
Foretinib.mol,8.203,8.2,7.443,7.413,5.071,4.773,4.675,,,,,,
Telithromycin.mol,7.445,7.433,7.424,7.413,6.449,5.005,4.782,,,,,,
glimepiride.mol,7.718,7.445,7.429,7.412,6.999,4.693,4.409,,,,,,
AS-604850.mol,8.363,7.999,7.449,7.409,4.915,4.355,4.03,,,,,,
Thalidomide.mol,7.453,7.44,7.41,7.408,4.687,4.105,3.696,,,,,,
Lansoprazole.mol,8.513,7.999,7.999,7.397,5.043,4.908,4.392,,,,,,
Fosinopril.mol,7.474,7.434,7.429,7.382,6.351,4.754,4.63,,,,,,
Tacrolimus.mol,7.498,7.432,7.425,7.352,6.453,6.446,6.444,,,,,,
Talmapimod.mol,8.201,7.497,7.427,7.352,4.975,4.649,4.606,,,,,,
AMI-1.mol,7.864,7.855,7.431,7.246,7.243,6.999,6.999,,,,,,
ABT737.mol,7.815,7.718,7.427,6.999,6.999,4.959,4.76,,,,,,
Argatroban.mol,7.717,7.474,7.426,6.999,6.351,5.323,4.723,,,,,,
C646.mol,7.815,7.475,7.428,6.999,6.351,5.074,4.778,,,,,,
Encorafenib.mol,8.201,7.718,7.435,6.999,5.055,4.91,4.8,,,,,,
Glipizide.mol,7.718,7.431,7.427,6.999,4.954,4.691,4.322,,,,,,
Glybenclamide.mol,7.718,7.431,7.427,6.999,4.959,4.691,4.624,,,,,,
HMN-214.mol,7.716,7.472,7.427,6.999,4.853,4.779,4.619,,,,,,
NITROFURANTOIN.mol,7.815,7.449,7.409,6.999,5.048,4.518,3.886,,,,,,
PHA-665752.mol,7.714,7.431,7.426,6.999,5.005,4.824,4.68,,,,,,
Remikiren.mol,7.713,7.433,7.423,6.999,6.493,6.4,4.991,,,,,,
RO5126766.mol,8.201,7.719,7.433,6.999,5.1,4.831,4.788,,,,,,
SU11274.mol,7.715,7.431,7.426,6.999,4.941,4.823,4.68,,,,,,
Venetoclax.mol,7.815,7.718,7.427,6.999,6.999,5.1,4.946,,,,,,
XL388.mol,8.201,7.715,7.427,6.999,5.176,4.843,4.562,,,,,,
TW-37.mol,7.715,7.429,6.999,6.56,6.445,6.383,4.759,,,,,,
Tolcapone.mol,7.815,7.427,6.999,6.528,6.401,4.717,4.392,,,,,,
AT101 Glossypol.mol,7.455,7.451,6.535,6.523,6.472,6.46,6.4,,,,,,
tetracycline.mol,7.45,7.427,7.416,6.502,6.47,6.462,6.445,,,,,,
NMS-E973.mol,7.815,7.429,6.999,6.493,6.446,5.199,4.852,,,,,,
Doxorubicin.mol,7.437,7.428,7.419,6.481,6.454,6.453,6.448,,,,,,
Besifloxacin.mol,8.203,8.2,7.427,6.471,6.449,4.688,4.603,,,,,,
ezetimibe.mol,8.203,8.2,7.427,6.471,6.449,4.688,4.603,,,,,,
ICG-001.mol,7.434,7.427,7.422,6.471,4.898,4.756,4.621,,,,,,
Nystatin.mol,7.474,7.432,6.503,6.471,6.459,6.458,6.447,,,,,,
AS-252424.mol,8.201,7.449,7.409,6.469,5.059,4.434,4.126,,,,,,
Sulfasalazine.mol,7.717,7.475,6.999,6.469,6.35,4.999,4.897,,,,,,
Tenoxicam.mol,7.715,7.427,6.999,6.468,4.906,4.559,4.143,,,,,,
Trabectedin.mol,7.435,7.43,6.473,6.466,6.449,4.997,4.781,,,,,,
Dantron.mol,7.436,7.419,6.471,6.465,4.61,4.49,3.656,,,,,,
IOX 2.mol,7.475,7.443,7.412,6.465,6.351,4.772,4.696,,,,,,
Gemcitabine.mol,8.358,7.999,7.432,6.464,6.436,5.127,4.539,,,,,,
Tafluprost.mol,8.358,7.999,7.432,6.464,6.434,4.855,4.512,,,,,,
Atorvastatin.mol,8.201,7.474,7.429,6.462,6.436,6.35,4.852,,,,,,
Kaempherol.mol,7.429,6.494,6.471,6.459,6.445,4.774,4.525,,,,,,
MEK162.mol,8.203,8.199,7.429,6.457,4.982,4.675,4.629,,,,,,
Tubacin.mol,7.432,7.427,6.494,6.457,5.139,4.886,4.721,,,,,,
Dexamethasone.mol,8.188,7.431,7.427,6.456,6.445,6.435,4.517,,,,,,
Permitil.mol,8.513,7.999,7.999,6.456,4.804,4.571,4.376,,,,,,
Ticagrelor.mol,8.24,8.161,6.494,6.456,6.4,5.212,4.646,,,,,,
Astragaloside A.mol,6.528,6.511,6.457,6.45,6.446,6.435,6.433,,,,,,
Delanzomib.mol,7.434,7.424,6.613,6.45,6.23,4.901,4.64,,,,,,
chlortalidone.mol,7.726,7.429,6.999,6.449,4.911,4.792,4.695,,,,,,
Vinblastine.mol,7.438,7.431,7.43,6.447,6.439,4.967,4.836,,,,,,
digitoxin.mol,7.434,6.495,6.453,6.446,6.443,6.4,4.837,,,,,,
Voriconazole.mol,8.212,8.201,8.191,6.446,5.077,4.932,4.479,,,,,,
bafilomycin a.mol,7.433,6.471,6.448,6.445,6.433,4.767,4.69,,,,,,
Epothilone A.mol,7.433,7.425,6.451,6.445,4.863,4.749,4.455,,,,,,
Epothilone B.mol,7.433,7.425,6.451,6.445,4.865,4.775,4.459,,,,,,
KW-2478.mol,7.43,7.425,6.491,6.445,4.911,4.658,4.624,,,,,,
Radicicol.mol,7.434,7.426,6.492,6.445,4.813,4.775,4.453,,,,,,
Forskolin.mol,7.434,7.427,6.462,6.444,6.431,4.804,4.517,,,,,,
Formebolone.mol,7.46,7.42,6.453,6.443,4.521,4.27,3.915,,,,,,
Halotestin.mol,8.188,7.428,6.452,6.442,4.439,4.25,3.837,,,,,,
Fludarabine.mol,8.204,7.474,6.495,6.437,6.4,6.23,5.227,,,,,,
Pitavastatin.mol,8.201,7.474,6.462,6.437,6.35,4.984,4.605,,,,,,
Tedizolid Phosphate.mol,8.201,7.475,7.433,6.437,6.23,5.216,4.832,,,,,,
Teniposide.mol,7.432,6.494,6.468,6.401,5.011,4.876,4.819,,,,,,
Clindamycin.mol,7.428,6.517,6.435,6.386,4.739,4.492,4.373,,,,,,
Methotrexate.mol,7.477,7.471,7.428,6.352,6.35,5.342,4.989,,,,,,
celastrol.mol,7.474,7.43,6.46,6.351,4.695,4.418,4.178,,,,,,
gatifloxacin.mol,8.201,7.48,7.422,6.351,4.796,4.424,4.41,,,,,,
grepafloxacin.mol,8.201,7.48,7.422,6.351,4.657,4.418,4.253,,,,,,
Levocabastine.mol,8.201,7.473,6.817,6.351,4.752,4.634,4.35,,,,,,
Pefloxacin.mol,8.201,7.48,7.422,6.351,4.648,4.365,4.155,,,,,,
Pob-SAM.mol,7.474,6.495,6.4,6.351,5.439,5.271,4.976,,,,,,
ramipril.mol,7.474,7.432,7.425,6.351,4.753,4.481,4.366,,,,,,
Sulindac.mol,8.201,7.474,7.398,6.351,4.806,4.639,4.186,,,,,,
Trandolapril.mol,7.474,7.432,7.425,6.351,4.753,4.481,4.359,,,,,,
Treprostinil.mol,7.474,6.452,6.446,6.351,4.82,4.324,4.195,,,,,,
Ursodeoxycholic acid.mol,7.474,6.452,6.445,6.351,4.465,4.262,4.044,,,,,,
Bortezomib.mol,7.434,7.424,6.613,6.23,4.975,4.751,4.27,,,,,,
Ixazomib.mol,6.614,6.483,6.467,6.23,5.002,4.667,4.447,,,,,,
ZM 336372.mol,7.431,7.427,7.247,5.719,5.464,4.999,4.744,,,,,,
AZD6938.mol,8.201,6.822,6.818,5.303,4.792,4.504,3.826,,,,,,
MK-8245.mol,8.201,7.474,6.351,5.294,5.061,4.79,4.354,,,,,,
G007-LK.mol,7.716,6.999,6.82,5.275,5.118,4.889,4.755,,,,,,
Valsartan.mol,7.474,7.426,6.351,5.268,4.798,4.582,4.234,,,,,,
LUMINESPIB.mol,7.429,6.492,6.445,5.188,4.714,4.604,4.445,,,,,,
Riluzole.mol,8.516,7.999,7.999,5.183,4.782,4.321,3.758,,,,,,
Mubritinib.mol,8.513,7.999,7.999,5.171,5.109,4.828,4.714,,,,,,
Fragment,8.513,7.999,7.999,5.17,4.964,4.614,4.598,,,,,,
Buparlisib.mol,,,,5.17,,,,,,,,,
Purvalanol.mol,7.475,6.456,6.351,5.149,4.897,4.573,4.38,,,,,,
Lapatinib.mol,8.201,7.715,6.999,5.124,5.008,4.963,4.661,,,,,,
Pexidartinib.mol,8.513,7.999,7.999,5.114,4.902,4.811,4.665,,,,,,
Barasertib.mol,8.201,7.429,6.456,5.109,4.966,4.674,4.659,,,,,,
Sulfisoxazole.mol,7.717,6.999,5.206,5.106,4.442,3.966,3.87,,,,,,
Sulfamoxole.mol,7.717,6.999,5.137,5.103,4.441,3.961,3.885,,,,,,
CUDC-101.mol,7.431,6.493,5.448,5.1,4.767,4.661,4.468,,,,,,
GDC0810.mol,8.201,7.474,6.351,5.098,4.895,4.731,4.41,,,,,,
Sulfadimethoxine.mol,7.717,6.999,5.115,5.09,4.596,4.445,4.32,,,,,,
Fluconazole.mol,8.211,8.191,6.446,5.088,5.064,4.477,3.826,,,,,,
K-252a.mol,7.434,7.428,6.441,5.084,4.809,4.57,4.477,,,,,,
Roflumilast.mol,8.365,7.999,7.429,5.083,4.868,4.632,4.418,,,,,,
Cabozantinib.mol,8.201,7.443,7.413,5.08,4.834,4.693,4.663,,,,,,
Entrectinib.mol,8.211,8.191,7.429,5.079,4.741,4.597,4.536,,,,,,
Leukadherin 1.mol,7.475,7.428,6.351,5.076,4.788,4.706,4.616,,,,,,
TALAZOPARIB.mol,8.203,8.2,7.429,5.069,4.794,4.612,4.356,,,,,,
Alisertib.mol,8.201,7.475,6.351,5.058,4.896,4.811,4.801,,,,,,
montelukast.mol,7.474,6.449,6.351,5.057,4.779,4.71,4.671,,,,,,
pantoprazole.mol,8.365,7.999,7.397,5.053,4.981,4.505,4.494,,,,,,
GSK923295.mol,7.431,7.427,6.451,5.049,4.971,4.688,4.498,,,,,,
TCS ERK 11e.mol,8.201,7.429,6.456,5.038,4.934,4.868,4.727,,,,,,
Cerdulatinib.mol,7.714,7.437,6.999,5.016,4.859,4.724,4.371,,,,,,
Apitolisib.mol,7.428,6.444,5.244,5.007,4.616,4.577,4.372,,,,,,
linagliptin.mol,7.444,7.411,5.046,5.005,4.886,4.688,4.465,,,,,,
Sulfadiazine.mol,7.717,6.999,5.109,5.005,4.441,3.962,3.885,,,,,,
IWR-1-endo.mol,7.445,7.429,7.408,4.998,4.7,4.52,4.401,,,,,,
vismodegib.mol,7.716,7.429,6.999,4.998,4.884,4.789,4.37,,,,,,
Rocilinostat.mol,7.433,7.428,6.493,4.997,4.763,4.688,4.22,,,,,,
mek azd.mol,8.201,7.429,6.457,4.996,4.923,4.634,4.366,,,,,,
Camptotecin.mol,7.435,7.426,6.441,4.993,4.571,4.411,4.09,,,,,,
Sulfaphenazole.mol,7.717,6.999,5.109,4.99,4.658,4.441,3.771,,,,,,
Vardenafil.mol,7.715,7.429,6.999,4.985,4.789,4.418,4.355,,,,,,
levothyroxine.mol,7.474,6.468,6.351,4.983,4.86,4.543,4.06,,,,,,
Pazopanib.mol,7.726,6.999,5.057,4.982,4.826,4.658,4.406,,,,,,
Pictilisib.mol,7.716,6.999,5.13,4.975,4.612,4.427,4.336,,,,,,
silvesterol.mol,7.429,6.492,6.399,4.971,4.85,4.745,4.702,,,,,,
CUDC-907.mol,7.432,6.493,5.083,4.966,4.905,4.612,4.412,,,,,,
Neratinib.mol,7.43,6.82,5.035,4.96,4.872,4.609,4.422,,,,,,
Napabucasin.mol,7.438,7.426,7.419,4.955,4.663,3.742,3.65,,,,,,
Delavirdin.mol,7.718,7.428,6.999,4.95,4.892,4.315,4.306,,,,,,
Udenafil.mol,7.717,7.431,6.999,4.947,4.802,4.436,4.398,,,,,,
Vilazodone.mol,7.438,6.82,5.12,4.946,4.857,4.456,4.247,,,,,,
Nirogacestat.mol,8.211,8.191,7.428,4.943,4.543,4.42,4.253,,,,,,
Telmisartan.mol,7.475,6.351,5.075,4.943,4.793,4.576,4.398,,,,,,
Fluorescein.mol,7.433,6.474,6.468,4.937,4.69,4.435,4.264,,,,,,
Tadalafil.mol,7.434,7.42,5.018,4.937,4.405,4.236,4.145,,,,,,
Ipatasertib.mol,7.427,6.45,4.965,4.934,4.412,4.292,4.271,,,,,,
Crizotinib.mol,8.201,5.192,4.961,4.932,4.616,4.59,4.375,,,,,,
BEZ235.mol,7.428,6.817,5.039,4.931,4.718,4.444,4.284,,,,,,
Dactolisib.mol,7.428,6.817,5.039,4.931,4.718,4.444,4.284,,,,,,
Tariquidar.mol,7.432,7.426,4.992,4.927,4.904,4.741,4.496,,,,,,
LJI308.mol,8.211,8.191,6.459,4.926,4.713,4.567,4.359,,,,,,
Tolvaptan.mol,7.431,7.426,6.45,4.923,4.743,4.683,4.339,,,,,,
ABT-751.mol,7.717,6.999,6.471,4.92,4.844,4.615,4.328,,,,,,
Vorapaxar.mol,8.201,7.436,7.431,4.919,4.594,4.557,4.486,,,,,,
Voacamine.mol,7.434,7.43,5.004,4.917,4.623,4.538,4.495,,,,,,
ZSTK474.mol,8.362,7.999,5.122,4.911,4.616,4.597,4.287,,,,,,
iloperidone.mol,8.201,7.428,5.247,4.908,4.472,4.324,4.309,,,,,,
MGCD-265.mol,8.201,7.429,5.054,4.901,4.865,4.742,4.65,,,,,,
Cinacalcet.mol,8.513,7.999,7.999,4.9,4.693,4.384,4.241,,,,,,
Iniparib.mol,7.815,7.437,6.999,4.898,4.601,3.604,3.504,,,,,,
Sulfapyridine.mol,7.717,6.999,5.108,4.898,4.441,3.893,3.792,,,,,,
Tivantinib.mol,7.448,7.408,4.974,4.898,4.312,4.251,4.055,,,,,,
SB-431542.mol,7.437,5.077,4.958,4.896,4.793,4.566,4.262,,,,,,
CCT 018159.mol,6.492,6.445,5.026,4.894,4.419,4.29,4.208,,,,,,
GDC0032.mol,7.436,5.101,4.979,4.887,4.844,4.613,4.301,,,,,,
Taselisib.mol,7.436,5.101,4.979,4.887,4.844,4.613,4.301,,,,,,
CH5138303.mol,7.437,5.257,4.982,4.882,4.695,4.643,4.425,,,,,,
AZ628.mol,7.431,7.426,6.817,4.878,4.744,4.689,4.418,,,,,,
Tubocurarine.mol,6.472,6.466,4.949,4.877,4.72,4.642,4.473,,,,,,
Itraconazole.mol,7.428,5.105,5.021,4.875,4.8,4.759,4.62,,,,,,
Peficitinib.mol,7.437,6.446,5.06,4.871,4.417,4.301,4.032,,,,,,
BMS 509744.mol,7.433,7.427,7.426,4.865,4.789,4.707,4.417,,,,,,
Ketoconazole.mol,7.428,5.057,4.949,4.865,4.758,4.612,4.378,,,,,,
Safinamide.mol,8.201,7.436,4.892,4.859,4.627,4.328,4.12,,,,,,
Afatinib.mol,8.201,7.43,5.089,4.858,4.747,4.521,4.418,,,,,,
Tamsulosin.mol,7.726,6.999,4.925,4.858,4.77,4.476,4.396,,,,,,
NVP-TNKS656.mol,7.432,7.426,7.425,4.856,4.781,4.487,4.354,,,,,,
Neurodazine.mol,5.149,4.952,4.88,4.843,4.72,4.342,4.307,,,,,,
PD0332991.mol,7.443,7.412,5.025,4.838,4.392,4.295,4.198,,,,,,
AZD2461.mol,8.201,7.431,7.426,4.836,4.646,4.581,4.448,,,,,,
Idelalisib.mol,8.201,7.427,5.203,4.828,4.695,4.555,4.357,,,,,,
Valdecoxib.mol,7.726,6.999,5.214,4.828,4.714,4.634,3.823,,,,,,
Atenolol.mol,7.437,6.449,4.895,4.822,4.369,4.276,3.744,,,,,,
sunitinib.mol,8.201,7.431,7.427,4.819,4.646,4.338,4.045,,,,,,
Torkinib.mol,6.471,5.26,4.947,4.811,4.494,4.14,3.985,,,,,,
rofecoxib.mol,7.716,7.433,6.999,4.809,4.677,4.445,3.759,,,,,,
Trifluoperazine.mol,8.513,7.999,7.999,4.804,4.571,4.406,4.081,,,,,,
Triflupromazine.mol,8.513,7.999,7.999,4.804,4.571,4.331,3.998,,,,,,
ERK5-IN-1.mol,7.43,7.426,5.015,4.797,4.696,4.433,4.351,,,,,,
Linifanib.mol,8.201,7.431,5.248,4.796,4.688,4.648,4.321,,,,,,
Sulfinpyrazone.mol,7.444,7.409,7.396,4.794,4.72,4.718,4.051,,,,,,
Adapalene.mol,7.475,6.351,4.924,4.792,4.428,4.376,4.145,,,,,,
Flurbiprofen.mol,8.201,7.474,6.351,4.792,4.539,3.931,3.674,,,,,,
IWP-L6.mol,7.43,7.426,4.925,4.792,4.684,4.624,4.014,,,,,,
Tasosartan.mol,7.427,5.269,4.952,4.792,4.58,4.096,4.053,,,,,,
SGI-1027.mol,7.429,5.228,5.008,4.79,4.709,4.593,4.394,,,,,,
Avasimibe.mol,7.725,7.427,6.999,4.786,4.698,4.19,4.19,,,,,,
Suvorexant.mol,7.427,5.227,5.105,4.779,4.631,4.305,4.021,,,,,,
Calpeptin.mol,7.453,7.436,7.425,4.775,4.394,4.263,4.195,,,,,,
